"","population","species","individual","diameter","volume","total.protein","protein.density","total.lipid","lipid.density","total.carb","carb.density","protein.energy","lipid.energy","carb.energy","total.energy","energy.density","lipid.protein","perc.energy.lipid","perc.protein","perc.lipid","perc.carb","summed.constituents"
"1","North","P. lividus",1,91.45,0.4,0.049,0.122,0.019,0.047,0.007,0.016,1.174,0.749,0.113,2.036,5.056,0.388,36.8,65.648,25.444,8.908,0.075
"2","North","P. lividus",2,91.3,0.4,0.049,0.121,0.014,0.034,0.007,0.018,1.172,0.547,0.123,1.842,4.565,0.284,29.7,69.862,19.809,10.328,0.07
"3","North","P. lividus",3,91.15,0.4,0.05,0.126,0.015,0.038,0.008,0.019,1.198,0.59,0.13,1.918,4.832,0.299,30.7,68.863,20.587,10.549,0.073
"4","North","P. lividus",4,89,0.37,0.042,0.112,0.007,0.018,0.007,0.018,1.001,0.263,0.112,1.377,3.688,0.16,19.1,75.85,12.125,12.024,0.055
"5","North","A. lixula",1,74,0.21,0.026,0.121,0.011,0.051,0.006,0.03,0.612,0.424,0.108,1.145,5.448,0.421,37.1,59.887,25.206,14.907,0.043
"6","North","A. lixula",2,76.45,0.24,0.029,0.123,0.008,0.033,0.004,0.016,0.697,0.306,0.063,1.066,4.53,0.267,28.7,71.729,19.122,9.149,0.04
"7","North","A. lixula",3,72.55,0.2,0.023,0.12,0.006,0.033,0.002,0.01,0.563,0.255,0.035,0.852,4.347,0.275,29.9,73.434,20.186,6.381,0.032
"8","North","A. lixula",4,72.3,0.2,0.02,0.101,0.007,0.037,0.005,0.023,0.477,0.287,0.077,0.841,4.271,0.365,34.1,62.77,22.911,14.319,0.032
"9","North","A. lixula",5,76.7,0.23,0.018,0.078,0.008,0.035,0.006,0.025,0.429,0.319,0.097,0.846,3.665,0.451,37.7,56.458,25.482,18.06,0.032
"10","North","A. lixula",6,74,0.21,0.033,0.158,0.01,0.048,NA,NA,0.797,0.395,NA,1.192,5.671,0.301,33.1,76.864,23.136,NA,0.043
"11","South","P. lividus",1,89.25,0.37,0.043,0.117,0.012,0.034,0.007,0.02,1.031,0.492,0.126,1.648,4.482,0.29,29.8,68.416,19.817,11.766,0.063
"12","South","P. lividus",2,96.45,0.46,0.05,0.109,0.019,0.042,0.007,0.015,1.196,0.758,0.118,2.072,4.528,0.385,36.6,65.627,25.256,9.118,0.076
"13","South","P. lividus",3,91.5,0.4,0.04,0.101,0.016,0.039,0.009,0.022,0.963,0.614,0.148,1.725,4.335,0.388,35.6,62.304,24.162,13.534,0.064
"14","South","P. lividus",4,86.2,0.33,0.042,0.127,0.011,0.035,0.009,0.027,1.007,0.454,0.15,1.611,4.884,0.274,28.2,67.38,18.436,14.184,0.062
"15","South","P. lividus",5,93.5625,0.43,0.037,0.086,0.016,0.037,0.009,0.02,0.884,0.631,0.148,1.662,3.865,0.434,37.9,59.861,25.956,14.182,0.062
"16","South","A. lixula",1,75.95,0.23,0.037,0.164,0.011,0.051,0.008,0.034,0.892,0.454,0.132,1.477,6.535,0.309,30.7,65.857,20.355,13.789,0.056
"17","South","A. lixula",2,75.55,0.22,0.031,0.142,0.016,0.072,0.008,0.036,0.755,0.631,0.136,1.521,6.861,0.508,41.4,56.751,28.81,14.439,0.055
"18","South","A. lixula",3,73.65,0.21,0.021,0.099,0.013,0.062,0.007,0.034,0.498,0.509,0.121,1.128,5.384,0.621,45.1,50.909,31.636,17.455,0.041
"19","South","A. lixula",4,74.5,0.21,0.034,0.161,0.014,0.066,0.008,0.035,0.828,0.557,0.128,1.513,7.072,0.409,36.8,61.412,25.132,13.456,0.056
"20","South","A. lixula",5,76.65,0.23,0.037,0.159,0.013,0.057,0.006,0.027,0.891,0.522,0.108,1.521,6.501,0.356,34.3,65.49,23.333,11.176,0.057
